Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
401,5,3,121,51,6,3,248,0
397,6,4,4,51,4,3,138,0
381,5,2,3,55,3,4,127,0
382,4,3,122,47,3,3,235,0
365,4,2,3,51,3,3,117,0
482,4,57,4,49,58,4,230,1
382,4,2,121,47,3,5,237,0
368,4,2,121,42,4,4,229,0
397,4,2,121,46,3,3,231,0
384,4,3,121,46,3,4,232,0
376,3,2,121,46,3,4,226,0
462,4,58,122,50,59,3,348,1
380,4,2,3,49,4,3,114,0
368,4,2,122,43,3,3,232,0
460,3,58,3,53,58,3,226,1
358,3,2,4,42,2,3,105,0
360,10,3,121,37,3,3,223,0
377,3,3,122,53,2,4,243,0
360,3,2,4,43,3,4,115,0
393,6,4,4,40,4,4,110,0
465,3,58,4,40,58,4,218,1
362,4,3,122,50,4,3,244,0
335,4,2,122,47,4,5,234,0
372,4,3,4,49,3,3,119,0
544,47,47,4,112,4,3,276,2
361,3,3,3,44,3,4,116,0
513,47,46,4,111,3,3,270,2
528,47,46,4,108,4,5,268,2
355,3,3,122,43,3,4,232,0
417,4,2,122,41,3,4,223,0
536,47,45,122,105,3,5,383,2
368,4,4,4,51,3,3,124,0
516,46,45,4,106,3,3,254,2
493,4,57,4,59,59,5,239,1
499,4,58,123,53,59,3,349,1
513,46,46,3,105,4,4,257,2
415,5,3,122,55,4,5,268,0
379,4,2,123,50,4,5,239,0
500,47,45,3,105,4,4,255,2
489,4,57,5,44,58,5,230,1
387,5,3,3,49,3,4,123,0
489,5,58,121,46,58,3,339,1
377,4,4,121,43,3,2,233,0
508,47,46,122,107,2,4,383,2
509,47,45,122,105,3,3,376,2
402,5,2,122,54,4,4,245,0
397,4,3,121,58,3,3,249,0
531,47,45,122,114,3,4,385,2
540,7,59,122,59,59,5,387,1
382,5,3,121,47,4,4,241,0
375,4,3,4,48,3,3,119,0
360,3,3,122,44,3,5,226,0
373,4,3,4,47,3,3,114,0
420,4,3,121,53,3,3,240,0
378,3,2,122,41,4,4,227,0
366,4,4,5,50,4,3,122,0
339,3,3,4,45,4,4,112,0
360,4,3,3,45,3,3,112,0
329,4,3,122,47,3,3,225,0
383,4,3,123,49,4,6,242,0
381,4,3,5,45,3,4,118,0
382,4,3,122,47,3,4,237,0
499,46,46,3,111,3,3,264,2
372,3,2,4,48,3,4,118,0
380,4,3,121,50,3,4,239,0
359,4,2,122,50,3,4,238,0
516,5,58,122,53,57,4,358,1
352,3,2,3,39,3,3,104,0
484,4,57,3,44,58,3,220,1
359,4,3,4,48,3,3,110,0
467,3,57,121,49,58,3,346,1
384,4,4,122,51,4,4,239,0
450,6,3,122,50,5,7,264,0
380,4,3,121,45,3,4,232,0
369,3,2,122,46,3,4,237,0
369,4,2,3,46,3,3,116,0
412,6,3,4,50,4,4,129,0
372,4,3,3,45,4,4,114,0
380,4,3,4,42,3,3,113,0
388,4,3,123,48,4,4,244,0
366,4,2,4,51,3,4,117,0
380,3,2,3,49,4,5,122,0
378,3,3,4,48,4,4,121,0
452,13,2,4,57,3,6,154,0
377,4,3,122,43,3,2,229,0
395,6,3,121,52,4,4,252,0
352,4,2,3,44,3,3,113,0
516,47,45,122,108,3,3,383,2
376,4,3,121,41,4,4,230,0
367,3,3,3,47,3,4,117,0
369,4,2,4,48,3,4,116,0
377,4,3,4,45,2,4,117,0
494,3,58,3,53,59,3,231,1
351,4,2,122,46,3,4,231,0
392,3,2,4,47,3,4,112,0
544,51,46,4,107,3,4,268,2
428,4,3,3,49,3,4,117,0
402,5,2,121,55,4,4,262,0
351,4,3,3,41,3,3,110,0
373,3,3,3,49,3,3,117,0
375,6,2,122,48,4,4,241,0
511,5,58,122,50,60,5,367,1
355,3,2,4,42,4,3,111,0
378,4,2,122,48,4,5,238,0
400,5,2,122,44,3,2,242,0
374,4,3,4,50,2,4,117,0
388,4,2,4,51,4,4,120,0
370,5,2,122,46,4,3,234,0
358,3,3,122,48,3,4,240,0
377,4,3,122,46,3,3,236,0
443,5,2,122,47,4,4,234,0
381,5,2,3,46,3,4,112,0
364,4,3,4,50,3,3,117,0
356,5,3,121,42,3,4,225,0
400,5,3,4,52,3,4,133,0
399,5,3,4,57,4,3,137,0
375,4,1,4,45,4,4,115,0
346,4,3,122,41,3,3,223,0
364,3,2,121,44,4,4,236,0
383,3,2,3,44,4,3,117,0
393,4,3,121,47,4,5,236,0
